IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.86.58,443,true,SIN-12877,Asia Pacific,Singapore,88 ms,12877 kB/s
8.210.219.194,443,true,HKG-12655,Asia Pacific,Hong Kong,58 ms,12655 kB/s
8.219.118.182,443,true,SIN-11669,Asia Pacific,Singapore,94 ms,11669 kB/s
158.178.235.1,443,true,SIN,Asia Pacific,Singapore,93 ms,7827 kB/s
8.222.170.204,443,true,SIN,Asia Pacific,Singapore,90 ms,7136 kB/s
8.219.73.31,443,true,SIN,Asia Pacific,Singapore,95 ms,7009 kB/s
8.219.90.59,443,true,SIN,Asia Pacific,Singapore,90 ms,6947 kB/s
129.150.60.150,443,true,SIN,Asia Pacific,Singapore,94 ms,6025 kB/s
140.238.5.32,443,true,ICN,Asia Pacific,Seoul,81 ms,5747 kB/s
8.222.173.157,443,true,SIN,Asia Pacific,Singapore,98 ms,5515 kB/s
158.178.238.239,443,true,SIN,Asia Pacific,Singapore,101 ms,5044 kB/s
8.222.132.231,443,true,SIN,Asia Pacific,Singapore,88 ms,4827 kB/s
8.222.204.28,443,true,SIN,Asia Pacific,Singapore,90 ms,4797 kB/s
8.210.58.6,443,true,HKG,Asia Pacific,Hong Kong,56 ms,1369 kB/s
8.222.163.46,443,true,SIN,Asia Pacific,Singapore,99 ms,472 kB/s
8.222.163.12,443,true,SIN,Asia Pacific,Singapore,88 ms,412 kB/s
8.222.157.169,443,true,SIN,Asia Pacific,Singapore,97 ms,338 kB/s
8.222.165.104,443,true,SIN,Asia Pacific,Singapore,91 ms,37 kB/s
132.145.81.117,443,true,ICN,Asia Pacific,Seoul,101 ms,1 kB/s
