IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
43.155.218.94,443,443,true,ICN,Asia Pacific,KR,Seoul,100,2.81
129.226.150.167,443,443,true,SIN,Asia Pacific,SG,Singapore,230,2.31
43.156.253.94,443,443,true,SIN,Asia Pacific,SG,Singapore,218,2.16
43.153.105.7,443,443,true,SJC,North America,US,San Jose,155,1.89
43.153.57.8,443,443,true,SJC,North America,US,San Jose,161,1.55
43.156.181.203,443,443,true,SIN,Asia Pacific,SG,Singapore,227,0.65
43.156.45.174,443,443,true,SIN,Asia Pacific,SG,Singapore,235,0.21
43.156.45.86,443,443,true,SIN,Asia Pacific,SG,Singapore,228,0.19
43.156.45.191,443,0,true,SIN,Asia Pacific,SG,Singapore,238,0.19
43.134.174.165,443,443,true,SIN,Asia Pacific,SG,Singapore,213,0.19
43.134.34.18,443,443,true,SIN,Asia Pacific,SG,Singapore,226,0.17
43.134.161.173,443,443,true,SIN,Asia Pacific,SG,Singapore,217,0.17
43.156.43.241,443,443,true,SIN,Asia Pacific,SG,Singapore,220,0.12
43.155.30.252,443,443,true,HKG,Asia Pacific,HK,Hong Kong,64,0.12
43.153.193.55,443,0,true,SIN,Asia Pacific,SG,Singapore,219,0.09
43.156.53.68,443,443,true,SIN,Asia Pacific,SG,Singapore,216,0.03
43.128.26.74,443,443,true,HKG,Asia Pacific,HK,Hong Kong,47,0.00
43.155.107.182,8443,443,true,TPE,Asia Pacific,TW,Taipei,50,0.00
43.134.239.113,443,443,true,SIN,Asia Pacific,SG,Singapore,226,0.00
43.128.112.160,443,443,true,SIN,Asia Pacific,SG,Singapore,215,0.00
43.156.116.194,443,443,true,SIN,Asia Pacific,SG,Singapore,229,0.00
43.159.196.17,443,443,true,HKG,Asia Pacific,HK,Hong Kong,48,0.00
