IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
18.179.4.50,2086,443,true,HKG,Asia Pacific,HK,Hong Kong,73,5.81
204.110.220.234,80,443,true,SJC,North America,US,San Jose,184,4.18
51.44.167.3,443,443,true,AMS,Europe,NL,Amsterdam,222,4.02
3.0.50.69,443,443,true,SIN,Asia Pacific,SG,Singapore,94,3.95
18.199.223.32,443,443,true,FRA,Europe,DE,Frankfurt,178,3.45
34.216.124.126,443,443,true,PDX,North America,US,Portland,193,3.37
52.89.97.12,443,443,true,SEA,North America,US,Seattle,190,3.36
13.38.105.183,2053,443,true,CDG,Europe,FR,Paris,159,3.31
3.68.197.87,8080,443,true,FRA,Europe,DE,Frankfurt,169,3.18
13.43.17.110,2083,443,true,LHR,Europe,GB,London,190,3.11
35.159.161.39,2083,443,true,FRA,Europe,DE,Frankfurt,171,3.07
35.87.202.29,8443,443,true,SEA,North America,US,Seattle,191,3.05
13.228.155.72,443,443,true,SIN,Asia Pacific,SG,Singapore,93,3.03
3.69.157.142,2087,443,true,FRA,Europe,DE,Frankfurt,169,2.98
52.221.204.184,443,443,true,SIN,Asia Pacific,SG,Singapore,92,2.95
67.226.223.212,443,443,true,LHR,Europe,GB,London,189,2.95
3.71.189.51,2053,443,true,FRA,Europe,DE,Frankfurt,227,2.90
204.110.223.78,80,443,true,ORD,North America,US,Chicago,223,2.87
3.75.149.151,443,443,true,FRA,Europe,DE,Frankfurt,169,2.84
204.110.220.143,80,443,true,SJC,North America,US,San Jose,154,2.80
18.156.209.101,443,443,true,FRA,Europe,DE,Frankfurt,185,2.80
3.133.113.118,443,443,true,IAD,North America,US,Ashburn,226,2.78
35.86.138.114,443,443,true,SEA,North America,US,Seattle,207,2.73
63.176.145.30,443,443,true,FRA,Europe,DE,Frankfurt,178,2.73
43.218.77.16,443,443,true,CGK,Asia Pacific,ID,Jakarta,113,2.72
3.127.15.79,443,443,true,FRA,Europe,DE,Frankfurt,180,2.71
34.221.20.125,8443,443,true,SEA,North America,US,Seattle,195,2.68
13.50.173.22,8443,443,true,ARN,Europe,SE,Stockholm,195,2.64
3.79.244.48,443,443,true,FRA,Europe,DE,Frankfurt,151,2.62
34.214.8.7,443,443,true,SEA,North America,US,Seattle,186,2.59
35.90.5.209,443,443,true,SEA,North America,US,Seattle,187,2.51
52.40.221.63,443,443,true,SEA,North America,US,Seattle,193,2.48
52.58.52.105,443,443,true,FRA,Europe,DE,Frankfurt,147,2.42
54.246.42.63,8443,443,true,DUB,Europe,IE,Dublin,177,2.41
3.101.102.25,80,443,true,SJC,North America,US,San Jose,152,2.40
18.133.240.96,2096,443,true,LHR,Europe,GB,London,205,2.38
54.213.239.129,443,443,true,SEA,North America,US,Seattle,208,2.37
54.191.65.60,443,443,true,SEA,North America,US,Seattle,189,2.37
13.212.169.126,443,443,true,SIN,Asia Pacific,SG,Singapore,116,2.33
204.110.223.105,80,443,true,ORD,North America,US,Chicago,224,2.31
18.192.152.35,2053,443,true,FRA,Europe,DE,Frankfurt,181,2.27
44.200.139.251,443,443,true,IAD,North America,US,Ashburn,232,2.27
52.89.100.174,443,443,true,SEA,North America,US,Seattle,191,2.24
54.170.134.110,443,443,true,DUB,Europe,IE,Dublin,195,2.23
3.79.59.119,8443,443,true,FRA,Europe,DE,Frankfurt,183,2.20
18.140.196.110,443,443,true,SIN,Asia Pacific,SG,Singapore,120,2.20
35.86.156.123,443,443,true,SEA,North America,US,Seattle,199,2.17
18.117.7.9,443,443,true,IAD,North America,US,Ashburn,214,2.15
34.223.206.64,443,443,true,PDX,North America,US,Portland,207,2.13
35.181.167.70,8443,443,true,CDG,Europe,FR,Paris,180,2.13
67.226.221.206,443,443,true,SJC,North America,US,San Jose,161,2.12
35.92.59.150,443,443,true,SEA,North America,US,Seattle,190,2.10
3.71.239.9,443,443,true,FRA,Europe,DE,Frankfurt,178,2.09
35.94.232.192,443,443,true,SEA,North America,US,Seattle,204,2.07
3.144.38.134,443,443,true,IAD,North America,US,Ashburn,243,2.07
34.220.15.249,443,443,true,SEA,North America,US,Seattle,186,2.05
54.190.156.147,8443,443,true,SEA,North America,US,Seattle,178,2.03
67.226.223.14,80,443,true,LHR,Europe,GB,London,194,2.02
18.200.197.244,2096,443,true,DUB,Europe,IE,Dublin,200,2.02
54.90.71.182,2083,443,true,IAD,North America,US,Ashburn,243,2.02
18.117.10.197,443,443,true,IAD,North America,US,Ashburn,219,2.00
34.217.87.226,443,443,true,SEA,North America,US,Seattle,183,1.99
3.101.133.120,80,443,true,SJC,North America,US,San Jose,181,1.99
16.171.114.20,2053,443,true,ARN,Europe,SE,Stockholm,203,1.98
3.144.20.145,443,443,true,IAD,North America,US,Ashburn,226,1.98
35.156.58.237,443,443,true,FRA,Europe,DE,Frankfurt,202,1.97
67.226.221.70,80,443,true,SJC,North America,US,San Jose,168,1.95
35.159.168.72,443,443,true,FRA,Europe,DE,Frankfurt,174,1.95
35.178.206.170,443,443,true,LHR,Europe,GB,London,179,1.93
18.118.142.7,443,443,true,IAD,North America,US,Ashburn,222,1.92
18.153.94.168,443,443,true,FRA,Europe,DE,Frankfurt,184,1.92
13.60.6.159,8443,443,true,AMS,Europe,NL,Amsterdam,201,1.91
3.11.162.90,2096,443,true,LHR,Europe,GB,London,189,1.90
67.226.222.87,80,443,true,ORD,North America,US,Chicago,208,1.88
54.241.79.250,80,443,true,SJC,North America,US,San Jose,180,1.87
67.226.221.194,80,443,true,SJC,North America,US,San Jose,159,1.87
3.64.216.209,2083,443,true,FRA,Europe,DE,Frankfurt,221,1.85
35.156.134.213,2053,443,true,FRA,Europe,DE,Frankfurt,160,1.84
34.219.53.148,443,443,true,SEA,North America,US,Seattle,206,1.83
3.147.53.163,443,443,true,IAD,North America,US,Ashburn,234,1.82
18.218.128.184,443,443,true,IAD,North America,US,Ashburn,248,1.81
3.70.37.226,8443,443,true,FRA,Europe,DE,Frankfurt,178,1.80
34.249.147.242,2087,443,true,DUB,Europe,IE,Dublin,195,1.78
204.110.223.65,80,443,true,ORD,North America,US,Chicago,235,1.76
54.214.222.51,443,443,true,SEA,North America,US,Seattle,197,1.76
204.110.220.209,80,443,true,SJC,North America,US,San Jose,149,1.73
18.133.246.14,2096,443,true,LHR,Europe,GB,London,181,1.72
54.165.144.110,443,443,true,IAD,North America,US,Ashburn,239,1.70
3.78.125.180,443,443,true,FRA,Europe,DE,Frankfurt,160,1.70
52.12.10.184,443,443,true,SEA,North America,US,Seattle,196,1.68
18.159.149.255,443,443,true,FRA,Europe,DE,Frankfurt,184,1.68
34.214.172.22,443,443,true,SEA,North America,US,Seattle,204,1.67
35.167.9.54,443,443,true,SEA,North America,US,Seattle,189,1.66
18.144.44.213,80,443,true,SJC,North America,US,San Jose,153,1.66
54.202.56.174,443,443,true,SEA,North America,US,Seattle,191,1.66
67.226.221.102,443,443,true,SJC,North America,US,San Jose,171,1.65
67.226.221.90,80,443,true,SJC,North America,US,San Jose,165,1.65
18.185.160.192,2096,443,true,FRA,Europe,DE,Frankfurt,217,1.64
108.129.161.15,443,443,true,DUB,Europe,IE,Dublin,248,1.63
50.18.133.190,80,443,true,SJC,North America,US,San Jose,167,1.62
