IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.235.149.57,8443,443,true,BOM,Asia Pacific,IN,Mumbai,136,4.27
20.41.104.196,443,443,true,ICN,Asia Pacific,KR,Seoul,88,2.75
20.235.149.30,8443,443,true,BOM,Asia Pacific,IN,Mumbai,145,2.60
20.235.220.189,443,443,true,BOM,Asia Pacific,IN,Mumbai,156,2.52
51.107.9.31,8443,443,true,ZRH,Europe,CH,Zurich,246,2.40
20.198.241.32,2053,443,true,SIN,Asia Pacific,SG,Singapore,113,2.23
20.169.80.29,443,443,true,LAX,North America,US,Los Angeles,223,2.10
51.116.121.75,443,443,true,FRA,Europe,DE,Frankfurt,250,1.84
51.145.238.40,8443,443,true,AMS,Europe,NL,Amsterdam,259,1.76
51.141.47.207,8443,443,true,MAN,Europe,GB,Manchester,246,1.75
20.46.151.138,2083,443,true,BOM,Asia Pacific,IN,Mumbai,185,1.60
104.42.104.121,2053,443,true,SJC,North America,US,San Jose,220,1.58
20.233.254.198,443,443,true,BOM,Asia Pacific,IN,Mumbai,194,1.56
20.235.105.146,443,443,true,BOM,Asia Pacific,IN,Mumbai,154,1.50
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,275,1.20
20.0.112.34,443,443,true,MAN,Europe,GB,Manchester,252,1.14
51.145.238.40,2053,443,true,AMS,Europe,NL,Amsterdam,250,1.12
158.23.168.120,443,443,true,DFW,North America,US,Dallas,253,1.09
51.107.8.47,8443,443,true,ZRH,Europe,CH,Zurich,242,1.07
130.0.239.147,2053,443,true,KBP,Europe,UA,Kyiv,294,1.05
172.201.76.19,443,443,true,AMS,Europe,NL,Amsterdam,258,1.03
20.221.32.145,443,443,true,ORD,North America,US,Chicago,194,1.02
51.141.48.92,8443,443,true,MAN,Europe,GB,Manchester,254,1.02
68.221.204.29,2053,443,true,MAD,Europe,ES,Madrid,250,1.02
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,267,0.99
51.13.57.88,2053,443,true,CPH,Europe,DK,Copenhagen,262,0.99
20.77.106.83,8080,443,true,MCI,North America,US,Kansas City,353,0.98
52.169.27.133,2053,443,true,DUB,Europe,IE,Dublin,256,0.90
51.141.45.191,8443,443,true,MAN,Europe,GB,Manchester,247,0.89
20.108.26.91,443,443,true,MAN,Europe,GB,Manchester,238,0.87
20.125.213.152,8443,443,true,ORD,North America,US,Chicago,239,0.83
40.113.60.248,2053,443,true,DUB,Europe,IE,Dublin,252,0.79
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,264,0.78
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,273,0.75
20.233.68.69,2053,443,true,BOM,Asia Pacific,IN,Mumbai,187,0.70
51.107.11.76,8443,443,true,ZRH,Europe,CH,Zurich,245,0.70
51.12.217.144,443,443,true,ARN,Europe,SE,Stockholm,276,0.69
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,225,0.69
20.217.216.51,2053,443,true,MRS,Europe,FR,Marseille,274,0.64
20.125.214.4,8443,443,true,ORD,North America,US,Chicago,263,0.62
51.141.34.36,8443,443,true,MAN,Europe,GB,Manchester,256,0.60
20.74.223.241,8080,443,true,MCI,North America,US,Kansas City,381,0.60
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,264,0.57
20.235.149.109,8443,443,true,BOM,Asia Pacific,IN,Mumbai,143,0.49
20.240.254.247,8443,443,true,ARN,Europe,SE,Stockholm,290,0.48
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,261,0.43
20.125.214.184,8443,443,true,ORD,North America,US,Chicago,248,0.41
20.86.144.225,2053,443,true,AMS,Europe,NL,Amsterdam,252,0.40
4.184.172.43,8443,443,true,FRA,Europe,DE,Frankfurt,245,0.37
20.52.162.167,2053,443,true,FRA,Europe,DE,Frankfurt,256,0.35
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,386,0.32
130.0.239.23,443,443,true,KBP,Europe,UA,Kyiv,283,0.32
20.91.225.232,2053,443,true,ARN,Europe,SE,Stockholm,265,0.24
20.240.254.247,2053,443,true,ARN,Europe,SE,Stockholm,292,0.17
4.232.162.127,2053,443,true,MXP,Europe,IT,Milan,239,0.07
4.152.146.92,443,443,true,IAD,North America,US,Ashburn,266,0.00
20.57.85.61,443,443,true,IAD,North America,US,Ashburn,266,0.00
