IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
38.47.118.166,11001,443,true,LAX,North America,US,Los Angeles,158,2.71
154.40.46.28,46757,443,true,LAX,North America,US,Los Angeles,210,2.52
108.165.40.180,41396,443,true,LAX,North America,US,Los Angeles,198,1.98
89.213.182.210,38145,443,true,LAX,North America,US,Los Angeles,174,1.95
38.207.186.44,25718,443,true,LAX,North America,US,Los Angeles,197,1.76
38.47.113.19,34237,2096,true,LAX,North America,US,Los Angeles,202,1.48
154.64.225.139,30371,443,true,LAX,North America,US,Los Angeles,185,1.44
38.47.117.77,443,443,true,LAX,North America,US,Los Angeles,158,1.32
38.207.186.217,38578,443,true,LAX,North America,US,Los Angeles,178,1.27
202.5.28.47,15829,443,true,LAX,North America,US,Los Angeles,179,1.27
154.40.54.131,10443,443,true,LAX,North America,US,Los Angeles,197,1.24
154.40.57.245,34237,2096,true,LAX,North America,US,Los Angeles,200,1.10
154.21.202.107,4433,443,true,HKG,Asia Pacific,HK,Hong Kong,69,0.99
154.64.228.213,34237,2096,true,LAX,North America,US,Los Angeles,194,0.98
154.9.242.148,48086,443,true,LAX,North America,US,Los Angeles,207,0.94
154.7.180.112,15129,443,true,LAX,North America,US,Los Angeles,218,0.76
154.9.241.183,16356,443,true,LAX,North America,US,Los Angeles,192,0.64
154.29.147.199,443,443,true,LAX,North America,US,Los Angeles,194,0.47
154.9.242.201,46402,443,true,LAX,North America,US,Los Angeles,186,0.22
