IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
23.169.184.125,25526,443,true,LAX,North America,US,Los Angeles,185,2.85
38.49.38.194,24440,443,true,LAX,North America,US,Los Angeles,194,2.78
154.201.89.184,34814,443,true,LAX,North America,US,Los Angeles,199,2.69
206.119.79.247,443,443,true,LAX,North America,US,Los Angeles,160,2.26
104.167.247.149,80,80,false,LAX,North America,US,Los Angeles,156,2.18
38.60.109.112,47672,443,true,LAX,North America,US,Los Angeles,191,1.99
154.23.243.91,42242,443,true,LAX,North America,US,Los Angeles,169,1.82
154.23.241.5,10082,80,false,LAX,North America,US,Los Angeles,167,1.74
38.60.91.41,15360,443,true,LAX,North America,US,Los Angeles,189,1.67
23.169.184.28,13800,443,true,LAX,North America,US,Los Angeles,190,1.62
207.60.50.79,52861,443,true,LAX,North America,US,Los Angeles,182,1.43
45.140.88.214,4443,443,true,LAX,North America,US,Los Angeles,163,1.39
45.140.88.163,37258,443,true,LAX,North America,US,Los Angeles,165,1.36
107.151.251.151,10020,443,true,LAX,North America,US,Los Angeles,190,1.27
45.140.88.163,22593,443,true,LAX,North America,US,Los Angeles,157,1.12
38.148.254.137,50042,443,true,SJC,North America,US,San Jose,167,0.82
154.201.93.212,19443,443,true,HKG,Asia Pacific,HK,Hong Kong,340,0.81
38.60.109.124,52782,443,true,LAX,North America,US,Los Angeles,178,0.75
38.60.109.167,19562,443,true,LAX,North America,US,Los Angeles,206,0.70
154.23.241.9,13725,443,true,LAX,North America,US,Los Angeles,159,0.63
154.201.78.7,12826,443,true,LAX,North America,US,Los Angeles,186,0.48
154.201.78.7,35578,443,true,LAX,North America,US,Los Angeles,190,0.39
154.201.78.7,23588,443,true,LAX,North America,US,Los Angeles,191,0.35
154.201.78.7,35646,443,true,LAX,North America,US,Los Angeles,181,0.35
154.201.78.7,37544,443,true,LAX,North America,US,Los Angeles,192,0.33
154.23.207.135,21714,2082,false,LAX,North America,US,Los Angeles,187,0.31
154.201.78.7,18882,443,true,LAX,North America,US,Los Angeles,190,0.31
154.201.78.7,33889,443,true,LAX,North America,US,Los Angeles,191,0.30
154.39.79.251,10880,443,true,LAX,North America,US,Los Angeles,166,0.19
154.201.93.166,2454,443,true,HKG,Asia Pacific,HK,Hong Kong,372,0.12
38.49.39.245,5556,0,false,SJC,North America,US,San Jose,156,0.00
