IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
79.72.86.172,443,443,true,FRA,Europe,Frankfurt,193,8.96
84.235.166.255,443,443,true,FRA,Europe,Frankfurt,367,8.96
141.148.227.222,443,443,true,FRA,Europe,Frankfurt,375,8.95
158.101.217.11,443,443,true,FRA,Europe,Frankfurt,311,8.95
79.72.82.223,443,443,true,FRA,Europe,Frankfurt,159,8.92
158.180.15.125,443,443,true,FRA,Europe,Frankfurt,356,8.90
130.162.210.75,443,443,true,FRA,Europe,Frankfurt,294,8.88
192.9.246.112,8443,443,true,SJC,North America,San Jose,194,8.85
132.226.133.212,443,443,true,FRA,Europe,Frankfurt,324,8.85
193.123.63.200,443,443,true,FRA,Europe,Frankfurt,400,8.84
79.72.88.206,443,443,true,FRA,Europe,Frankfurt,273,8.84
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,177,8.84
158.180.61.54,443,443,true,FRA,Europe,Frankfurt,268,8.83
130.162.51.230,443,443,true,FRA,Europe,Frankfurt,479,8.80
138.2.179.57,443,443,true,FRA,Europe,Frankfurt,321,8.80
89.168.114.2,443,443,true,FRA,Europe,Frankfurt,220,8.74
143.47.252.162,443,443,true,FRA,Europe,Frankfurt,186,8.70
144.24.189.136,443,443,true,FRA,Europe,Frankfurt,365,8.65
138.2.165.194,443,443,true,FRA,Europe,Frankfurt,304,8.59
143.47.188.26,443,443,true,FRA,Europe,Frankfurt,288,8.56
141.144.206.12,443,443,true,FRA,Europe,Frankfurt,311,8.54
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,252,8.54
130.162.60.136,443,443,true,FRA,Europe,Frankfurt,354,8.54
130.162.186.7,443,443,true,FRA,Europe,Frankfurt,345,8.52
129.159.242.3,443,443,true,FRA,Europe,Frankfurt,349,8.51
152.70.180.222,443,443,true,FRA,Europe,Frankfurt,291,8.49
79.72.70.100,443,443,true,FRA,Europe,Frankfurt,227,8.49
158.178.146.220,443,443,true,FRA,Europe,Frankfurt,287,8.47
141.147.115.55,443,443,true,FRA,Europe,Frankfurt,387,8.42
