IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.186.118.252,443,443,true,PDX,North America,US,Portland,302,9.21
54.77.48.190,443,443,true,DUB,Europe,IE,Dublin,310,9.21
54.245.201.107,443,443,true,PDX,North America,US,Portland,276,9.21
54.188.135.250,443,443,true,PDX,North America,US,Portland,317,9.21
52.40.119.130,443,443,true,SEA,North America,US,Seattle,254,9.21
34.215.15.236,443,443,true,PDX,North America,US,Portland,237,9.21
54.190.16.206,443,443,true,SEA,North America,US,Seattle,259,9.20
44.243.231.146,443,443,true,SEA,North America,US,Seattle,246,9.20
52.39.231.155,443,443,true,SEA,North America,US,Seattle,320,9.20
34.220.171.252,443,443,true,PDX,North America,US,Portland,326,9.20
54.201.21.120,443,443,true,SEA,North America,US,Seattle,235,9.20
54.218.229.12,443,443,true,PDX,North America,US,Portland,345,9.20
54.189.109.5,443,443,true,SEA,North America,US,Seattle,283,9.19
52.37.50.53,443,443,true,SEA,North America,US,Seattle,229,9.19
16.16.195.152,443,443,true,CPH,Europe,DK,Copenhagen,387,9.19
54.213.215.13,8443,443,true,PDX,North America,US,Portland,353,9.19
52.13.93.129,443,443,true,PDX,North America,US,Portland,415,9.19
67.226.223.229,443,443,true,LHR,Europe,GB,London,168,9.19
63.176.11.74,2096,443,true,FRA,Europe,DE,Frankfurt,316,9.19
34.209.25.41,443,443,true,PDX,North America,US,Portland,261,9.19
54.213.215.13,8443,443,true,PDX,North America,US,Portland,250,9.19
54.148.144.164,443,443,true,SEA,North America,US,Seattle,247,9.19
16.16.77.20,443,443,true,CPH,Europe,DK,Copenhagen,355,9.19
34.212.163.107,443,443,true,PDX,North America,US,Portland,228,9.19
54.213.214.160,443,443,true,PDX,North America,US,Portland,239,9.18
54.214.108.176,443,443,true,SEA,North America,US,Seattle,383,9.18
34.220.76.227,8443,443,true,PDX,North America,US,Portland,267,9.18
44.244.112.26,443,443,true,PDX,North America,US,Portland,327,9.18
54.201.141.2,443,443,true,SEA,North America,US,Seattle,222,9.17
