IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.247.9,443,443,true,FRA,Europe,Frankfurt,167,7.68
34.154.29.165,443,443,true,FRA,Europe,Frankfurt,171,7.68
34.89.155.235,443,443,true,FRA,Europe,Frankfurt,185,7.67
34.116.243.223,443,443,true,FRA,Europe,Frankfurt,180,7.67
34.90.206.90,443,443,true,FRA,Europe,Frankfurt,179,7.67
34.154.126.24,443,443,true,FRA,Europe,Frankfurt,181,7.66
34.159.19.197,443,443,true,FRA,Europe,Frankfurt,164,7.65
34.154.14.85,443,443,true,FRA,Europe,Frankfurt,186,7.65
34.65.76.138,443,443,true,FRA,Europe,Frankfurt,190,7.64
35.234.103.173,443,443,true,FRA,Europe,Frankfurt,170,7.63
34.90.241.32,443,443,true,FRA,Europe,Frankfurt,218,7.63
34.32.156.116,443,443,true,FRA,Europe,Frankfurt,180,7.63
34.65.79.218,443,443,true,FRA,Europe,Frankfurt,174,7.62
35.242.207.199,443,443,true,FRA,Europe,Frankfurt,207,7.62
34.91.83.173,443,443,true,FRA,Europe,Frankfurt,185,7.62
34.34.109.55,443,443,true,FRA,Europe,Frankfurt,179,7.61
34.65.52.195,443,443,true,FRA,Europe,Frankfurt,168,7.60
34.154.39.207,443,443,true,FRA,Europe,Frankfurt,184,7.59
34.154.4.212,443,443,true,FRA,Europe,Frankfurt,201,7.57
34.65.90.202,443,443,true,FRA,Europe,Frankfurt,202,7.56
34.65.12.249,443,443,true,FRA,Europe,Frankfurt,170,7.56
34.91.245.83,443,443,true,FRA,Europe,Frankfurt,209,7.55
34.34.27.117,443,443,true,FRA,Europe,Frankfurt,180,7.55
35.204.222.47,443,443,true,FRA,Europe,Frankfurt,175,7.55
34.118.114.231,443,443,true,FRA,Europe,Frankfurt,187,7.54
34.65.247.9,443,443,true,FRA,Europe,Frankfurt,180,7.54
34.65.170.6,443,443,true,FRA,Europe,Frankfurt,176,7.54
34.65.90.14,443,443,true,FRA,Europe,Frankfurt,182,7.53
34.65.52.195,443,443,true,FRA,Europe,Frankfurt,179,7.51
34.107.72.29,443,443,true,FRA,Europe,Frankfurt,218,7.51
34.107.38.189,443,443,true,FRA,Europe,Frankfurt,169,7.50
34.89.233.20,443,443,true,FRA,Europe,Frankfurt,172,7.50
34.154.73.26,443,443,true,FRA,Europe,Frankfurt,179,7.49
34.154.209.20,443,443,true,FRA,Europe,Frankfurt,170,7.48
34.90.0.83,443,443,true,FRA,Europe,Frankfurt,169,7.48
35.246.168.59,2053,443,true,FRA,Europe,Frankfurt,233,7.47
34.65.26.43,443,443,true,FRA,Europe,Frankfurt,189,7.47
34.90.115.83,443,443,true,FRA,Europe,Frankfurt,169,7.46
35.246.132.28,443,443,true,FRA,Europe,Frankfurt,180,7.45
34.147.55.44,443,443,true,FRA,Europe,Frankfurt,226,7.44
34.90.149.219,443,443,true,FRA,Europe,Frankfurt,175,7.44
35.204.24.165,443,443,true,FRA,Europe,Frankfurt,175,7.43
34.91.141.104,443,443,true,FRA,Europe,Frankfurt,179,7.42
34.91.83.173,443,443,true,FRA,Europe,Frankfurt,175,7.42
34.154.3.87,443,443,true,FRA,Europe,Frankfurt,183,7.42
34.163.89.60,8443,443,true,CDG,Europe,Paris,227,7.42
34.34.0.210,443,443,true,FRA,Europe,Frankfurt,170,7.41
34.118.6.179,443,443,true,FRA,Europe,Frankfurt,183,7.40
34.107.56.152,443,443,true,FRA,Europe,Frankfurt,268,7.40
34.91.113.182,443,443,true,FRA,Europe,Frankfurt,179,7.40
34.65.170.6,443,443,true,FRA,Europe,Frankfurt,173,7.39
34.65.251.105,443,443,true,FRA,Europe,Frankfurt,172,7.38
34.65.201.136,443,443,true,FRA,Europe,Frankfurt,171,7.37
34.163.89.60,2053,443,true,CDG,Europe,Paris,226,7.37
34.118.95.114,443,443,true,FRA,Europe,Frankfurt,186,7.37
34.141.213.34,443,443,true,FRA,Europe,Frankfurt,197,7.37
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,167,7.36
34.89.215.58,443,443,true,FRA,Europe,Frankfurt,167,7.35
34.89.155.235,443,443,true,FRA,Europe,Frankfurt,172,7.34
34.91.96.102,443,443,true,FRA,Europe,Frankfurt,176,7.34
35.198.190.148,443,443,true,FRA,Europe,Frankfurt,169,7.34
34.116.243.223,443,443,true,FRA,Europe,Frankfurt,231,7.34
34.91.96.102,443,443,true,FRA,Europe,Frankfurt,171,7.34
34.65.12.249,443,443,true,FRA,Europe,Frankfurt,174,7.33
34.65.170.6,443,443,true,FRA,Europe,Frankfurt,169,7.33
34.34.85.235,443,443,true,FRA,Europe,Frankfurt,173,7.32
34.91.99.60,443,443,true,FRA,Europe,Frankfurt,175,7.32
34.90.115.83,443,443,true,FRA,Europe,Frankfurt,177,7.32
34.163.89.60,2053,443,true,CDG,Europe,Paris,234,7.31
35.242.237.167,443,443,true,FRA,Europe,Frankfurt,224,7.31
34.65.67.109,443,443,true,FRA,Europe,Frankfurt,206,7.30
34.107.38.189,443,443,true,FRA,Europe,Frankfurt,161,7.29
34.34.90.227,443,443,true,FRA,Europe,Frankfurt,175,7.29
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,162,7.28
34.65.41.222,443,443,true,FRA,Europe,Frankfurt,172,7.28
34.89.249.158,443,443,true,FRA,Europe,Frankfurt,167,7.28
34.91.141.104,443,443,true,FRA,Europe,Frankfurt,201,7.26
34.91.69.203,443,443,true,FRA,Europe,Frankfurt,169,7.26
34.65.39.136,443,443,true,FRA,Europe,Frankfurt,177,7.26
34.65.12.249,443,443,true,FRA,Europe,Frankfurt,184,7.26
34.65.201.136,443,443,true,FRA,Europe,Frankfurt,176,7.26
34.154.129.199,443,443,true,AMS,Europe,Amsterdam,176,7.25
34.34.0.210,443,443,true,FRA,Europe,Frankfurt,173,7.22
34.116.246.74,443,443,true,FRA,Europe,Frankfurt,267,7.22
34.163.89.60,8443,443,true,CDG,Europe,Paris,228,7.21
35.246.156.162,443,443,true,FRA,Europe,Frankfurt,193,7.20
34.90.16.111,443,443,true,FRA,Europe,Frankfurt,172,7.19
34.65.39.136,443,443,true,FRA,Europe,Frankfurt,216,7.19
35.204.239.2,443,443,true,FRA,Europe,Frankfurt,171,7.18
34.118.95.240,443,443,true,FRA,Europe,Frankfurt,193,7.18
34.154.108.178,443,443,true,FRA,Europe,Frankfurt,172,7.18
34.65.52.195,443,443,true,FRA,Europe,Frankfurt,173,7.17
34.91.69.203,443,443,true,FRA,Europe,Frankfurt,187,7.17
35.246.168.59,8443,443,true,FRA,Europe,Frankfurt,232,7.17
34.91.55.182,443,443,true,FRA,Europe,Frankfurt,175,7.16
34.91.69.203,443,443,true,FRA,Europe,Frankfurt,177,7.15
34.154.14.191,443,443,true,FRA,Europe,Frankfurt,186,7.14
34.118.31.174,443,443,true,FRA,Europe,Frankfurt,179,7.14
34.116.222.221,443,443,true,FRA,Europe,Frankfurt,243,7.14
34.65.189.218,443,443,true,FRA,Europe,Frankfurt,174,7.13
34.107.46.133,443,443,true,FRA,Europe,Frankfurt,169,7.12
34.118.23.110,443,443,true,FRA,Europe,Frankfurt,190,7.11
34.91.113.182,443,443,true,FRA,Europe,Frankfurt,169,7.11
34.65.135.199,443,443,true,FRA,Europe,Frankfurt,176,7.10
34.116.254.134,443,443,true,FRA,Europe,Frankfurt,181,7.09
34.91.113.182,443,443,true,FRA,Europe,Frankfurt,175,7.09
34.89.155.235,443,443,true,FRA,Europe,Frankfurt,179,7.08
34.118.5.226,443,443,true,FRA,Europe,Frankfurt,186,7.07
34.90.149.219,443,443,true,FRA,Europe,Frankfurt,189,7.07
34.91.83.173,443,443,true,FRA,Europe,Frankfurt,175,7.06
34.65.144.162,443,443,true,FRA,Europe,Frankfurt,175,7.05
34.34.85.235,443,443,true,FRA,Europe,Frankfurt,179,7.04
34.89.233.20,443,443,true,FRA,Europe,Frankfurt,170,7.03
34.116.192.44,443,443,true,FRA,Europe,Frankfurt,245,7.03
34.90.16.111,443,443,true,FRA,Europe,Frankfurt,172,7.01
34.34.46.131,443,443,true,FRA,Europe,Frankfurt,176,6.99
34.159.218.221,443,443,true,FRA,Europe,Frankfurt,234,6.98
34.118.122.67,443,443,true,FRA,Europe,Frankfurt,194,6.97
34.91.55.182,443,443,true,FRA,Europe,Frankfurt,175,6.96
34.116.254.134,443,443,true,FRA,Europe,Frankfurt,259,6.96
35.242.232.67,443,443,true,FRA,Europe,Frankfurt,232,6.96
34.65.135.199,443,443,true,FRA,Europe,Frankfurt,186,6.94
34.91.55.182,443,443,true,FRA,Europe,Frankfurt,178,6.94
34.116.174.105,443,443,true,FRA,Europe,Frankfurt,191,6.93
35.204.13.32,443,443,true,FRA,Europe,Frankfurt,173,6.92
34.116.222.221,443,443,true,FRA,Europe,Frankfurt,186,6.91
34.65.135.199,443,443,true,FRA,Europe,Frankfurt,180,6.91
34.65.201.136,443,443,true,FRA,Europe,Frankfurt,175,6.89
34.65.189.218,443,443,true,FRA,Europe,Frankfurt,184,6.88
34.154.87.227,443,443,true,FRA,Europe,Frankfurt,180,6.87
34.65.76.138,443,443,true,FRA,Europe,Frankfurt,171,6.87
34.65.165.160,443,443,true,FRA,Europe,Frankfurt,181,6.86
34.154.175.22,443,443,true,FRA,Europe,Frankfurt,181,6.86
34.154.135.246,443,443,true,FRA,Europe,Frankfurt,186,6.84
34.32.206.180,443,443,true,FRA,Europe,Frankfurt,197,6.83
34.32.208.78,443,443,true,FRA,Europe,Frankfurt,194,6.83
34.91.55.182,443,443,true,FRA,Europe,Frankfurt,175,6.81
34.116.241.55,443,443,true,FRA,Europe,Frankfurt,190,6.79
34.147.66.152,443,443,true,FRA,Europe,Frankfurt,247,6.77
34.159.62.93,443,443,true,FRA,Europe,Frankfurt,183,6.75
34.89.155.235,443,443,true,FRA,Europe,Frankfurt,182,6.75
34.89.250.30,443,443,true,FRA,Europe,Frankfurt,168,6.75
34.154.208.236,443,443,true,FRA,Europe,Frankfurt,179,6.73
34.91.96.102,443,443,true,FRA,Europe,Frankfurt,180,6.72
34.116.241.55,443,443,true,FRA,Europe,Frankfurt,234,6.72
34.116.203.237,443,443,true,FRA,Europe,Frankfurt,186,6.71
34.34.27.117,443,443,true,FRA,Europe,Frankfurt,196,6.70
34.65.247.9,443,443,true,FRA,Europe,Frankfurt,171,6.70
34.116.224.152,443,443,true,FRA,Europe,Frankfurt,238,6.68
34.154.116.189,443,443,true,FRA,Europe,Frankfurt,234,6.68
34.65.76.138,443,443,true,FRA,Europe,Frankfurt,176,6.67
34.90.149.219,443,443,true,FRA,Europe,Frankfurt,177,6.67
34.118.97.63,443,443,true,FRA,Europe,Frankfurt,187,6.67
35.242.243.245,443,443,true,FRA,Europe,Frankfurt,296,6.65
34.116.232.197,443,443,true,FRA,Europe,Frankfurt,272,6.64
34.116.189.98,443,443,true,FRA,Europe,Frankfurt,252,6.64
34.116.246.74,443,443,true,FRA,Europe,Frankfurt,190,6.63
34.65.189.218,443,443,true,FRA,Europe,Frankfurt,175,6.63
34.116.244.10,443,443,true,FRA,Europe,Frankfurt,182,6.62
34.90.50.79,443,443,true,FRA,Europe,Frankfurt,171,6.62
34.91.69.203,443,443,true,FRA,Europe,Frankfurt,180,6.61
34.65.26.43,443,443,true,FRA,Europe,Frankfurt,173,6.59
34.34.186.205,443,443,true,CDG,Europe,Paris,231,6.56
34.34.46.131,443,443,true,FRA,Europe,Frankfurt,169,6.54
34.118.36.53,443,443,true,FRA,Europe,Frankfurt,255,6.52
34.118.127.195,443,443,true,FRA,Europe,Frankfurt,190,6.52
34.32.208.78,443,443,true,FRA,Europe,Frankfurt,194,6.51
34.118.22.194,443,443,true,FRA,Europe,Frankfurt,229,6.51
34.159.78.70,443,443,true,FRA,Europe,Frankfurt,169,6.47
34.154.133.200,443,443,true,FRA,Europe,Frankfurt,204,6.46
34.154.93.142,443,443,true,FRA,Europe,Frankfurt,182,6.41
34.116.217.100,443,443,true,FRA,Europe,Frankfurt,254,6.39
34.90.115.83,443,443,true,FRA,Europe,Frankfurt,179,6.39
34.65.90.202,443,443,true,FRA,Europe,Frankfurt,174,6.36
34.141.146.72,443,443,true,FRA,Europe,Frankfurt,170,6.35
34.116.174.105,443,443,true,FRA,Europe,Frankfurt,238,6.34
34.65.234.143,443,443,true,FRA,Europe,Frankfurt,174,6.33
34.154.122.107,443,443,true,FRA,Europe,Frankfurt,175,6.29
34.118.97.155,443,443,true,FRA,Europe,Frankfurt,230,6.23
34.154.127.14,443,443,true,FRA,Europe,Frankfurt,180,6.23
34.65.12.249,443,443,true,FRA,Europe,Frankfurt,174,6.16
34.90.187.36,443,443,true,FRA,Europe,Frankfurt,175,6.16
34.118.25.207,443,443,true,FRA,Europe,Frankfurt,238,6.16
34.118.113.206,443,443,true,FRA,Europe,Frankfurt,189,6.15
34.116.186.27,443,443,true,FRA,Europe,Frankfurt,284,6.12
34.65.39.136,443,443,true,FRA,Europe,Frankfurt,198,6.10
34.118.105.161,443,443,true,FRA,Europe,Frankfurt,189,6.10
34.154.190.148,443,443,true,FRA,Europe,Frankfurt,181,6.09
34.118.55.146,443,443,true,FRA,Europe,Frankfurt,251,6.04
34.154.152.78,443,443,true,FRA,Europe,Frankfurt,179,6.01
34.118.27.239,443,443,true,FRA,Europe,Frankfurt,222,5.96
34.118.110.197,443,443,true,FRA,Europe,Frankfurt,245,5.89
34.118.94.159,443,443,true,FRA,Europe,Frankfurt,250,5.85
34.118.19.120,443,443,true,FRA,Europe,Frankfurt,213,5.82
34.116.147.104,443,443,true,FRA,Europe,Frankfurt,188,5.82
34.118.77.144,443,443,true,FRA,Europe,Frankfurt,188,5.81
34.118.97.155,443,443,true,FRA,Europe,Frankfurt,199,5.74
34.118.113.206,443,443,true,FRA,Europe,Frankfurt,239,5.71
34.107.41.98,443,443,true,FRA,Europe,Frankfurt,157,5.69
34.65.90.202,443,443,true,FRA,Europe,Frankfurt,170,5.67
34.154.175.185,443,443,true,FRA,Europe,Frankfurt,183,5.66
34.118.109.211,443,443,true,FRA,Europe,Frankfurt,199,5.64
34.65.90.14,443,443,true,FRA,Europe,Frankfurt,173,5.62
34.118.56.203,443,443,true,FRA,Europe,Frankfurt,206,5.61
34.118.8.36,443,443,true,FRA,Europe,Frankfurt,190,5.55
34.154.251.100,443,443,true,FRA,Europe,Frankfurt,174,5.50
34.118.118.40,443,443,true,FRA,Europe,Frankfurt,190,5.50
