IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.212.44.95,443,true,HKG-10816,Asia Pacific,Hong Kong,55 ms,10816 kB/s
8.219.77.68,443,true,SIN,Asia Pacific,Singapore,94 ms,7763 kB/s
8.219.71.46,443,true,SIN,Asia Pacific,Singapore,97 ms,7548 kB/s
8.219.103.99,443,true,SIN,Asia Pacific,Singapore,105 ms,6151 kB/s
8.222.254.254,443,true,SIN,Asia Pacific,Singapore,93 ms,5863 kB/s
8.222.227.74,443,true,SIN,Asia Pacific,Singapore,97 ms,5695 kB/s
158.178.245.161,443,true,SIN,Asia Pacific,Singapore,93 ms,4981 kB/s
140.238.5.32,443,true,ICN,Asia Pacific,Seoul,88 ms,4976 kB/s
8.222.251.108,443,true,SIN,Asia Pacific,Singapore,87 ms,3136 kB/s
8.219.10.5,443,true,SIN,Asia Pacific,Singapore,96 ms,3104 kB/s
8.210.221.214,443,true,HKG,Asia Pacific,Hong Kong,65 ms,2796 kB/s
8.217.156.218,443,true,HKG,Asia Pacific,Hong Kong,53 ms,975 kB/s
8.222.163.12,443,true,SIN,Asia Pacific,Singapore,84 ms,150 kB/s
8.222.163.46,443,true,SIN,Asia Pacific,Singapore,87 ms,67 kB/s
8.222.165.104,443,true,SIN,Asia Pacific,Singapore,97 ms,51 kB/s
8.222.157.169,443,true,SIN,Asia Pacific,Singapore,93 ms,49 kB/s
138.2.75.91,443,true,SIN,Asia Pacific,Singapore,98 ms,1 kB/s
132.145.81.117,443,true,ICN,Asia Pacific,Seoul,88 ms,1 kB/s
168.138.177.109,443,true,SIN,Asia Pacific,Singapore,253 ms,1 kB/s
