IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
89.168.104.111,443,443,true,FRA,Europe,Frankfurt,168,8.45
144.24.169.84,443,443,true,FRA,Europe,Frankfurt,161,8.44
193.122.1.184,443,443,true,FRA,Europe,Frankfurt,169,8.41
84.8.157.251,443,443,true,FRA,Europe,Frankfurt,198,8.41
143.47.189.248,443,443,true,FRA,Europe,Frankfurt,165,8.41
144.21.34.54,443,443,true,FRA,Europe,Frankfurt,185,8.39
138.2.175.60,443,443,true,FRA,Europe,Frankfurt,202,8.37
193.123.245.214,443,443,true,SIN,Asia Pacific,Singapore,220,8.37
158.180.54.142,443,443,true,FRA,Europe,Frankfurt,194,8.37
141.147.97.175,443,443,true,FRA,Europe,Frankfurt,182,8.35
141.147.42.136,443,443,true,FRA,Europe,Frankfurt,183,8.35
193.122.55.17,443,443,true,FRA,Europe,Frankfurt,184,8.35
193.122.10.219,443,443,true,FRA,Europe,Frankfurt,182,8.34
193.123.227.7,443,443,true,SIN,Asia Pacific,Singapore,214,8.33
141.147.80.16,443,443,true,FRA,Europe,Frankfurt,185,8.33
79.72.86.170,443,443,true,FRA,Europe,Frankfurt,205,8.33
79.72.80.215,443,443,true,FRA,Europe,Frankfurt,184,8.33
141.147.71.61,443,443,true,FRA,Europe,Frankfurt,201,8.32
141.147.99.160,443,443,true,FRA,Europe,Frankfurt,184,8.31
141.148.237.203,443,443,true,FRA,Europe,Frankfurt,193,8.30
158.178.152.81,443,443,true,FRA,Europe,Frankfurt,173,8.29
141.147.104.77,443,443,true,FRA,Europe,Frankfurt,201,8.29
141.148.245.178,443,443,true,FRA,Europe,Frankfurt,169,8.26
138.2.157.91,443,443,true,FRA,Europe,Frankfurt,183,8.24
193.123.254.112,443,443,true,SIN,Asia Pacific,Singapore,202,8.23
143.47.178.120,443,443,true,FRA,Europe,Frankfurt,171,8.22
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,213,8.22
138.3.253.126,443,443,true,FRA,Europe,Frankfurt,161,8.15
129.159.204.13,443,443,true,FRA,Europe,Frankfurt,170,8.14
131.186.27.251,443,443,true,SIN,Asia Pacific,Singapore,208,8.13
129.159.254.120,443,443,true,FRA,Europe,Frankfurt,169,8.13
141.147.57.90,443,443,true,FRA,Europe,Frankfurt,179,8.13
131.186.20.16,443,443,true,SIN,Asia Pacific,Singapore,208,8.13
138.2.155.37,443,443,true,FRA,Europe,Frankfurt,222,8.11
141.147.107.179,443,443,true,FRA,Europe,Frankfurt,200,8.10
141.148.245.120,443,443,true,FRA,Europe,Frankfurt,173,8.10
79.72.78.221,443,443,true,FRA,Europe,Frankfurt,213,8.09
158.180.29.79,443,443,true,FRA,Europe,Frankfurt,175,8.07
144.21.37.138,443,443,true,FRA,Europe,Frankfurt,196,8.05
144.21.55.123,443,443,true,FRA,Europe,Frankfurt,175,8.04
84.8.151.142,443,443,true,FRA,Europe,Frankfurt,212,7.99
89.168.88.147,443,443,true,FRA,Europe,Frankfurt,160,7.98
152.70.234.76,443,443,true,SIN,Asia Pacific,Singapore,206,7.96
152.67.148.249,443,443,true,FRA,Europe,Frankfurt,240,7.96
141.148.241.161,443,443,true,FRA,Europe,Frankfurt,181,7.94
129.146.111.62,443,443,true,LAX,North America,Los Angeles,222,7.93
152.70.39.224,443,443,true,SIN,Asia Pacific,Singapore,202,7.93
158.180.54.42,443,443,true,FRA,Europe,Frankfurt,165,7.89
193.122.117.7,443,443,true,SIN,Asia Pacific,Singapore,208,7.89
193.122.117.7,443,443,true,SIN,Asia Pacific,Singapore,211,7.87
141.147.113.184,443,443,true,FRA,Europe,Frankfurt,193,7.87
141.144.249.148,443,443,true,FRA,Europe,Frankfurt,186,7.84
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,163,7.84
132.145.8.32,443,443,true,FRA,Europe,Frankfurt,191,7.84
143.47.190.190,443,443,true,FRA,Europe,Frankfurt,181,7.84
158.101.211.115,443,443,true,FRA,Europe,Frankfurt,176,7.82
141.147.72.188,443,443,true,FRA,Europe,Frankfurt,173,7.77
140.238.94.109,443,443,true,FRA,Europe,Frankfurt,183,7.77
141.147.69.119,443,443,true,FRA,Europe,Frankfurt,174,7.76
152.70.234.216,443,443,true,SIN,Asia Pacific,Singapore,217,7.76
141.147.90.96,443,443,true,FRA,Europe,Frankfurt,184,7.76
130.162.182.96,443,443,true,FRA,Europe,Frankfurt,191,7.76
129.159.198.175,443,443,true,FRA,Europe,Frankfurt,182,7.75
89.168.91.36,443,443,true,FRA,Europe,Frankfurt,170,7.72
144.21.63.203,443,443,true,FRA,Europe,Frankfurt,187,7.71
150.230.112.166,443,443,true,FRA,Europe,Frankfurt,169,7.71
