IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.212.44.95,443,true,HKG,Asia Pacific,Hong Kong,61 ms,13333 kB/s
8.222.133.18,443,true,SIN,Asia Pacific,Singapore,87 ms,12976 kB/s
8.222.172.117,443,true,SIN,Asia Pacific,Singapore,103 ms,12299 kB/s
8.222.237.115,443,true,SIN,Asia Pacific,Singapore,103 ms,9097 kB/s
8.222.221.249,443,true,SIN,Asia Pacific,Singapore,103 ms,7546 kB/s
8.219.101.120,443,true,SIN,Asia Pacific,Singapore,104 ms,6962 kB/s
8.222.178.97,443,true,SIN,Asia Pacific,Singapore,103 ms,6948 kB/s
8.222.174.194,443,true,SIN,Asia Pacific,Singapore,104 ms,6371 kB/s
8.222.156.4,443,true,SIN,Asia Pacific,Singapore,103 ms,6368 kB/s
8.222.245.174,443,true,SIN,Asia Pacific,Singapore,103 ms,6355 kB/s
8.222.195.67,443,true,SIN,Asia Pacific,Singapore,105 ms,6284 kB/s
8.222.240.106,443,true,SIN,Asia Pacific,Singapore,103 ms,5954 kB/s
8.210.9.73,443,true,SJC,North America,San Jose,57 ms,5923 kB/s
8.222.244.66,443,true,SIN,Asia Pacific,Singapore,103 ms,5353 kB/s
8.222.253.159,443,true,SIN,Asia Pacific,Singapore,103 ms,4836 kB/s
8.210.221.214,443,true,HKG,Asia Pacific,Hong Kong,60 ms,2842 kB/s
8.218.90.211,443,true,HKG,Asia Pacific,Hong Kong,68 ms,2818 kB/s
8.210.171.28,443,true,HKG,Asia Pacific,Hong Kong,61 ms,694 kB/s
8.218.26.21,443,true,HKG,Asia Pacific,Hong Kong,55 ms,442 kB/s
8.222.165.104,443,true,SIN,Asia Pacific,Singapore,103 ms,125 kB/s
