IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
3.68.62.122,443,443,true,FRA,Europe,DE,Frankfurt,265,11.46
67.226.223.51,80,443,true,LHR,Europe,GB,London,391,11.45
54.74.253.197,2083,443,true,DUB,Europe,IE,Dublin,262,11.45
3.78.241.13,443,443,true,FRA,Europe,DE,Frankfurt,339,11.44
3.252.142.72,2083,443,true,DUB,Europe,IE,Dublin,436,11.44
51.20.255.201,443,443,true,CPH,Europe,DK,Copenhagen,412,11.43
34.249.147.242,2087,443,true,DUB,Europe,IE,Dublin,310,11.43
47.129.103.198,443,443,true,SIN,Asia Pacific,SG,Singapore,292,11.43
18.201.9.237,443,443,true,DUB,Europe,IE,Dublin,308,11.42
16.171.233.100,443,443,true,CPH,Europe,DK,Copenhagen,322,11.42
34.251.2.62,443,443,true,DUB,Europe,IE,Dublin,318,11.42
35.159.238.235,443,443,true,FRA,Europe,DE,Frankfurt,169,11.41
35.181.77.67,443,443,true,CDG,Europe,FR,Paris,244,11.40
16.170.140.182,443,443,true,CPH,Europe,DK,Copenhagen,377,11.40
35.179.16.36,443,443,true,LHR,Europe,GB,London,258,11.39
67.226.223.127,80,443,true,LHR,Europe,GB,London,389,11.38
51.21.1.10,443,443,true,CPH,Europe,DK,Copenhagen,318,11.38
3.249.82.31,443,443,true,DUB,Europe,IE,Dublin,259,11.37
3.252.142.72,2083,443,true,DUB,Europe,IE,Dublin,228,11.37
16.170.155.179,443,443,true,CPH,Europe,DK,Copenhagen,260,11.37
3.69.157.142,2087,443,true,FRA,Europe,DE,Frankfurt,323,11.37
34.249.147.242,2096,443,true,DUB,Europe,IE,Dublin,366,11.36
51.44.169.170,2096,443,true,CDG,Europe,FR,Paris,175,11.36
35.179.172.53,443,443,true,LHR,Europe,GB,London,300,11.36
51.20.134.80,443,443,true,CPH,Europe,DK,Copenhagen,312,11.35
35.179.162.97,443,443,true,LHR,Europe,GB,London,351,11.35
35.179.158.201,443,443,true,LHR,Europe,GB,London,372,11.34
52.57.169.228,443,443,true,FRA,Europe,DE,Frankfurt,257,11.34
67.226.223.5,80,443,true,LHR,Europe,GB,London,365,11.34
51.20.184.1,2096,443,true,ARN,Europe,SE,Stockholm,289,11.33
67.226.223.247,80,443,true,LHR,Europe,GB,London,158,11.32
16.171.114.20,2053,443,true,ARN,Europe,SE,Stockholm,331,11.32
16.16.45.85,2053,443,true,ARN,Europe,SE,Stockholm,207,11.32
51.20.108.64,443,443,true,CPH,Europe,DK,Copenhagen,267,11.32
3.67.108.208,443,443,true,FRA,Europe,DE,Frankfurt,239,11.32
67.226.223.4,80,443,true,LHR,Europe,GB,London,172,11.32
3.249.74.184,8080,443,true,DUB,Europe,IE,Dublin,262,11.31
67.226.223.185,80,443,true,LHR,Europe,GB,London,396,11.31
67.226.223.80,80,443,true,LHR,Europe,GB,London,403,11.30
67.226.223.14,80,443,true,LHR,Europe,GB,London,314,11.29
51.20.252.242,443,443,true,CPH,Europe,DK,Copenhagen,358,11.29
54.229.215.215,443,443,true,DUB,Europe,IE,Dublin,191,11.28
54.216.40.130,8443,443,true,DUB,Europe,IE,Dublin,179,11.28
51.20.163.38,8443,443,true,ARN,Europe,SE,Stockholm,225,11.28
51.20.181.79,443,443,true,CPH,Europe,DK,Copenhagen,355,11.26
35.179.133.40,443,443,true,LHR,Europe,GB,London,397,11.26
67.226.223.174,80,443,true,LHR,Europe,GB,London,175,11.26
54.74.253.197,2083,443,true,DUB,Europe,IE,Dublin,367,11.25
16.171.114.20,8443,443,true,ARN,Europe,SE,Stockholm,337,11.24
51.20.182.22,443,443,true,CPH,Europe,DK,Copenhagen,269,11.24
3.78.24.246,8443,443,true,FRA,Europe,DE,Frankfurt,373,11.24
67.226.223.38,80,443,true,LHR,Europe,GB,London,169,11.23
54.229.148.35,443,443,true,DUB,Europe,IE,Dublin,256,11.23
35.181.77.67,443,443,true,CDG,Europe,FR,Paris,294,11.22
3.124.208.189,443,443,true,FRA,Europe,DE,Frankfurt,252,11.21
67.226.223.4,443,443,true,LHR,Europe,GB,London,289,11.21
35.179.144.94,443,443,true,LHR,Europe,GB,London,400,11.20
67.226.223.114,80,443,true,LHR,Europe,GB,London,176,11.20
67.226.223.10,80,443,true,LHR,Europe,GB,London,404,11.20
52.12.162.159,443,443,true,SEA,North America,US,Seattle,303,11.20
51.20.69.114,443,443,true,CPH,Europe,DK,Copenhagen,202,11.19
35.181.145.78,8443,443,true,CDG,Europe,FR,Paris,250,11.18
67.226.223.198,80,443,true,LHR,Europe,GB,London,172,11.16
67.226.223.128,80,443,true,LHR,Europe,GB,London,159,11.16
3.64.205.189,443,443,true,FRA,Europe,DE,Frankfurt,322,11.15
51.20.137.147,443,443,true,CPH,Europe,DK,Copenhagen,326,11.15
35.159.168.72,443,443,true,FRA,Europe,DE,Frankfurt,344,11.15
3.73.76.242,8443,443,true,FRA,Europe,DE,Frankfurt,218,11.15
67.226.223.108,80,443,true,LHR,Europe,GB,London,162,11.15
51.20.108.64,443,443,true,CPH,Europe,DK,Copenhagen,292,11.14
67.226.223.156,443,443,true,LHR,Europe,GB,London,397,11.12
51.20.163.38,2053,443,true,ARN,Europe,SE,Stockholm,232,11.09
16.171.55.203,443,443,true,CPH,Europe,DK,Copenhagen,361,11.09
63.176.11.74,2096,443,true,FRA,Europe,DE,Frankfurt,239,11.09
3.75.149.151,443,443,true,FRA,Europe,DE,Frankfurt,275,11.09
51.20.132.68,2053,443,true,ARN,Europe,SE,Stockholm,292,11.06
3.123.202.92,2053,443,true,FRA,Europe,DE,Frankfurt,226,11.06
