IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.204.199,443,443,true,FRA,Europe,Frankfurt,173,8.41
193.122.49.255,443,443,true,FRA,Europe,Frankfurt,176,8.35
143.47.251.151,443,443,true,FRA,Europe,Frankfurt,174,8.33
130.162.236.33,443,443,true,FRA,Europe,Frankfurt,187,8.32
130.162.161.141,443,443,true,FRA,Europe,Frankfurt,188,8.28
143.47.183.168,443,443,true,FRA,Europe,Frankfurt,216,8.24
141.144.253.70,443,443,true,FRA,Europe,Frankfurt,186,8.22
158.180.12.39,443,443,true,FRA,Europe,Frankfurt,166,8.21
130.162.185.137,443,443,true,FRA,Europe,Frankfurt,173,8.21
150.230.113.149,443,443,true,FRA,Europe,Frankfurt,191,8.20
193.122.12.71,443,443,true,FRA,Europe,Frankfurt,169,8.20
144.21.53.191,443,443,true,FRA,Europe,Frankfurt,173,8.18
89.168.115.68,443,443,true,FRA,Europe,Frankfurt,180,8.15
141.147.112.17,443,443,true,FRA,Europe,Frankfurt,178,8.14
152.70.59.40,443,443,true,FRA,Europe,Frankfurt,216,8.14
144.24.161.124,443,443,true,FRA,Europe,Frankfurt,179,8.13
152.70.178.217,443,443,true,FRA,Europe,Frankfurt,165,8.13
152.70.61.48,443,443,true,FRA,Europe,Frankfurt,195,8.11
150.230.121.88,443,443,true,FRA,Europe,Frankfurt,182,8.11
158.180.51.99,443,443,true,FRA,Europe,Frankfurt,161,8.11
141.147.35.82,443,443,true,FRA,Europe,Frankfurt,160,8.10
152.70.58.150,443,443,true,FRA,Europe,Frankfurt,186,8.10
193.123.61.147,443,443,true,FRA,Europe,Frankfurt,205,8.08
144.21.39.164,443,443,true,FRA,Europe,Frankfurt,165,8.06
144.21.32.210,443,443,true,FRA,Europe,Frankfurt,171,7.98
138.2.182.55,443,443,true,FRA,Europe,Frankfurt,180,7.93
158.180.34.154,443,443,true,FRA,Europe,Frankfurt,188,7.91
84.235.169.115,443,443,true,FRA,Europe,Frankfurt,169,7.90
141.147.54.155,443,443,true,FRA,Europe,Frankfurt,214,7.89
144.21.53.110,443,443,true,FRA,Europe,Frankfurt,191,7.89
141.148.228.14,443,443,true,FRA,Europe,Frankfurt,184,7.88
144.24.85.158,443,443,true,ICN,Asia Pacific,Seoul,67,7.87
144.21.53.157,443,443,true,LHR,Europe,London,166,7.83
193.123.56.213,443,443,true,FRA,Europe,Frankfurt,203,7.83
89.168.95.254,443,443,true,FRA,Europe,Frankfurt,266,7.79
141.144.226.142,443,443,true,FRA,Europe,Frankfurt,183,7.79
193.123.34.216,443,443,true,FRA,Europe,Frankfurt,164,7.79
144.21.34.88,443,443,true,FRA,Europe,Frankfurt,191,7.67
130.162.224.168,443,443,true,FRA,Europe,Frankfurt,169,7.67
138.2.164.158,443,443,true,FRA,Europe,Frankfurt,174,7.67
141.147.14.246,443,443,true,FRA,Europe,Frankfurt,160,7.66
193.122.2.108,443,443,true,FRA,Europe,Frankfurt,161,7.58
143.47.246.179,443,443,true,FRA,Europe,Frankfurt,180,7.58
193.123.56.158,443,443,true,FRA,Europe,Frankfurt,192,7.56
158.180.60.73,443,443,true,FRA,Europe,Frankfurt,167,7.56
